"order_id","person_id","order_date","status","total_amount","currency","payment_method","shipping_method","notes"
1,76386,"2021-10-13","Refunded",1110.95,"GBP","credit_card","pickup_point",""
2,49172,"2025-10-26","Refunded",935.95,"USD","paypal","pickup_point",""
3,85645,"2025-02-25","Returned",733.95,"GBP","apple_pay","fedex",""
4,79944,"2022-10-19","Delivered",710.95,"USD","bank_transfer","express",""
5,64970,"2024-01-05","Processing",1126.99,"EUR","google_pay","fedex",""
6,85505,"2023-12-12","Delivered",881.99,"GBP","debit_card","pickup_point",""
7,46946,"2021-10-05","Returned",911.95,"GBP","apple_pay","fedex",""
8,27551,"2024-06-17","Processing",808.99,"GBP","klarna","overnight",""
9,36034,"2024-12-18","Pending",1253.99,"EUR","bank_transfer","fedex",""
10,78950,"2023-11-29","Pending",68.99,"GBP","klarna","fedex",""
11,94336,"2025-09-13","Processing",676.99,"GBP","apple_pay","dhl",""
12,93854,"2023-06-27","Delivered",80.99,"USD","bank_transfer","fedex",""
13,79627,"2023-10-25","Processing",884.95,"GBP","apple_pay","dhl",""
14,37299,"2023-05-11","Cancelled",366.99,"EUR","credit_card","ups",""
15,58225,"2025-08-06","Pending",276.95,"USD","bank_transfer","fedex",""
16,94396,"2025-01-04","Refunded",897.99,"EUR","apple_pay","dhl",""
17,37095,"2022-03-12","Processing",78.99,"GBP","credit_card","fedex",""
18,30871,"2022-11-29","Refunded",128.99,"EUR","credit_card","fedex",""
19,68793,"2022-02-08","Pending",1481.95,"USD","debit_card","pickup_point",""
20,80983,"2025-12-22","Pending",1445.99,"EUR","google_pay","express",""
21,17368,"2024-02-27","Processing",147.95,"USD","klarna","pickup_point",""
22,78799,"2025-05-23","Cancelled",1309.99,"EUR","apple_pay","economy","ASAP delivery needed"
23,92405,"2025-11-12","Delivered",710.99,"GBP","paypal","economy",""
24,38906,"2021-03-11","Cancelled",1036.95,"USD","klarna","standard",""
25,84684,"2023-05-01","Refunded",587.95,"USD","bank_transfer","express",""
26,79999,"2023-05-31","Processing",995.99,"EUR","credit_card","pickup_point",""
27,33112,"2021-02-05","Cancelled",1386.99,"USD","apple_pay","pickup_point",""
28,59149,"2025-11-25","Pending",1283.99,"USD","debit_card","pickup_point",""
29,66090,"2022-10-01","Processing",1006.99,"EUR","paypal","express",""
30,70244,"2024-10-01","Shipped",103.95,"USD","credit_card","economy",""
31,71821,"2025-09-04","Returned",1287.99,"EUR","debit_card","economy",""
32,19407,"2023-12-14","Processing",1373.99,"EUR","credit_card","fedex",""
33,31872,"2024-04-25","Shipped",1095.95,"EUR","paypal","ups",""
34,44254,"2021-07-11","Shipped",1409.99,"USD","paypal","fedex",""
35,29824,"2025-06-02","Refunded",316.95,"EUR","klarna","express",""
36,10842,"2024-06-15","Refunded",1243.99,"USD","debit_card","fedex",""
37,38099,"2022-07-20","Processing",1117.99,"EUR","paypal","standard",""
38,44789,"2025-12-24","Shipped",567.95,"USD","apple_pay","fedex",""
39,54820,"2021-09-01","Delivered",1460.95,"EUR","google_pay","express",""
40,9838,"2023-08-05","Cancelled",1091.99,"GBP","apple_pay","pickup_point",""
41,65177,"2024-01-24","Pending",217.99,"EUR","credit_card","overnight",""
42,57265,"2022-09-25","Refunded",264.95,"USD","apple_pay","pickup_point",""
43,78649,"2024-12-07","Cancelled",1125.99,"EUR","bank_transfer","overnight",""
44,88000,"2025-10-16","Processing",745.99,"GBP","debit_card","dhl",""
45,80480,"2022-02-28","Returned",491.99,"EUR","klarna","ups",""
46,12330,"2022-01-27","Delivered",821.95,"GBP","klarna","economy",""
47,97129,"2021-09-22","Refunded",1159.99,"GBP","credit_card","ups",""
48,9165,"2024-03-10","Refunded",1206.95,"USD","klarna","fedex",""
49,86547,"2021-09-22","Shipped",946.99,"GBP","debit_card","ups",""
50,22240,"2023-07-09","Pending",141.99,"GBP","credit_card","pickup_point","Do not leave in direct sunlight"
51,78762,"2025-10-18","Shipped",23.95,"GBP","credit_card","standard",""
52,99676,"2021-10-10","Pending",550.99,"USD","apple_pay","overnight",""
53,77362,"2021-10-18","Refunded",1127.95,"GBP","google_pay","express",""
54,28084,"2024-01-01","Shipped",973.99,"GBP","paypal","ups",""
55,39259,"2023-10-15","Pending",1320.99,"GBP","credit_card","economy",""
56,76084,"2021-08-08","Delivered",627.95,"USD","bank_transfer","economy",""
57,34727,"2023-01-30","Shipped",1370.95,"EUR","credit_card","pickup_point",""
58,24048,"2022-06-30","Cancelled",1198.99,"GBP","bank_transfer","economy",""
59,84521,"2024-05-18","Processing",1256.95,"EUR","bank_transfer","dhl",""
60,42976,"2023-08-15","Returned",1303.95,"GBP","paypal","overnight","Leave with neighbor if not home"
61,15382,"2023-02-27","Refunded",752.95,"EUR","klarna","standard","Signature required"
62,22221,"2023-11-04","Refunded",20.95,"USD","bank_transfer","economy",""
63,76289,"2024-03-18","Delivered",1035.95,"GBP","apple_pay","standard",""
64,72883,"2025-02-09","Delivered",831.95,"GBP","apple_pay","standard",""
65,63508,"2022-06-04","Processing",1001.95,"USD","debit_card","economy",""
66,48151,"2023-01-28","Pending",1251.99,"EUR","apple_pay","fedex",""
67,80158,"2022-07-10","Refunded",245.95,"GBP","paypal","fedex",""
68,17668,"2024-11-26","Delivered",1413.99,"USD","klarna","economy","Do not leave in direct sunlight"
69,61943,"2024-02-20","Returned",331.95,"USD","google_pay","pickup_point",""
70,28808,"2023-05-29","Pending",1145.99,"GBP","paypal","pickup_point",""
71,2515,"2024-12-19","Shipped",80.99,"USD","credit_card","fedex",""
72,9784,"2024-06-09","Returned",414.99,"USD","debit_card","standard",""
